State,State_Code,District,Tier
Punjab,PB,Ludhiana, Tier-2 
Punjab,PB,Mansa, Tier-3 
Punjab,PB,Moga, Tier-3 
Punjab,PB,Pathankot, Tier-3 
Punjab,PB,Patiala, Tier-3 
Punjab,PB,Rupnagar, Tier-3 
Punjab,PB,S.A.S. Nagar, Tier-3 
Punjab,PB,Sangrur, Tier-3 
Punjab,PB,Shahid Bhagat Singh Nagar, Tier-3 
Punjab,PB,Sri Muktsar Sahib, Tier-3 
Puducherry,PY,Mahe, Tier-3 
Puducherry,PY,Puducherry, Tier-2 
Rajasthan,RJ,Ajmer, Tier-2 
Rajasthan,RJ,Alwar, Tier-3 
Rajasthan,RJ,Banswara, Tier-3 
Rajasthan,RJ,Barmer, Tier-3 
Rajasthan,RJ,Bharatpur, Tier-3 
Rajasthan,RJ,Bhilwara, Tier-3 
Rajasthan,RJ,Bikaner, Tier-2 
Rajasthan,RJ,Chittorgarh, Tier-3 
Rajasthan,RJ,Churu, Tier-3 
Rajasthan,RJ,Dausa, Tier-3 
Rajasthan,RJ,Dholpur, Tier-3 
Rajasthan,RJ,Dungarpur, Tier-3 
Rajasthan,RJ,Evacuees, Tier-3 
Rajasthan,RJ,Hanumangarh, Tier-3 
Rajasthan,RJ,Italians, Tier-3 
Rajasthan,RJ,Jaipur, Tier-2 
Rajasthan,RJ,Jaisalmer, Tier-3 
Rajasthan,RJ,Jhalawar, Tier-3 
